date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:12	177763/177763	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Aug%202022%2017:21:12%20GMT	https://www.revendamaisverde.com.br/_assets/img/banners/6.jpg	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/banners/6.jpg	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:12	432334/432334	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Aug%202022%2017:21:11%20GMT	https://www.revendamaisverde.com.br/_assets/img/banners/3.jpg	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/banners/3.jpg	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:12	236205/236205	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Aug%202022%2017:21:12%20GMT	https://www.revendamaisverde.com.br/_assets/img/bgcel.png	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/bgcel.png	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Aug%202022%2017:21:12%20GMT	https://www.revendamaisverde.com.br/_assets/img/dtl01.png	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/dtl01.png	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Aug%202022%2017:21:12%20GMT	https://www.revendamaisverde.com.br/_assets/img/dtl02.png	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/dtl02.png	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:13	549027/549027	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Aug%202022%2017:21:13%20GMT	https://www.revendamaisverde.com.br/_assets/img/bgtelefones.png	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/bgtelefones.png	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:13	20845/20845	---M--	200	added ('OK')	image/png	etag:%22577a2690-516d%22	https://www.transparenttextures.com/patterns/asfalt-light.png	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.transparenttextures.com/patterns/asfalt-light.png	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:14	33521/33521	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Aug%202022%2017:21:13%20GMT	https://www.revendamaisverde.com.br/_assets/img/banner-resp/0.jpg	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/banner-resp/0.jpg	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:14	2841313/2841313	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Aug%202022%2017:21:12%20GMT	https://www.revendamaisverde.com.br/_assets/img/bgvideo.png	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/bgvideo.png	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
14:21:14	323171/323171	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Aug%202022%2017:21:14%20GMT	https://www.revendamaisverde.com.br/_assets/img/banner-resp/1.png	C:/Users/Roberto%20Andrade/OneDrive%20-%20MS365/%c3%81rea%20de%20Trabalho/widecloud/copia%20intelbras/copia%20intel/www.revendamaisverde.com.br/_assets/img/banner-resp/1.png	(from https://www.revendamaisverde.com.br/_assets/css/main.css)
